12-05-2015 18:01:08,,,,,,,,,,,
Iteration,Direction_Tx,Byte_All_Tx,Byte_Sequence_Tx,Value_Tx,Time_Tx,Direction_Rx,Byte_All_Rx,Byte_Sequence_Rx,Value_Rx,Time_Rx,Latency Tx -> Rx
250,Tx,2880000,11520,0xff,1431453919.169043,Rx,2880000,11520,0xff,1431453919.169043,0.0
251,Tx,2891520,11520,0xff,1431453920.178065,Rx,2891520,11520,0xff,1431453920.178065,0.0
252,Tx,2903040,11520,0xff,1431453921.185074,Rx,2903040,11520,0xff,1431453921.185074,0.0
253,Tx,2914560,11520,0xff,1431453922.178081,Rx,2914560,11520,0xff,1431453922.178081,0.0
254,Tx,2926080,11520,0xff,1431453923.176096,Rx,2926080,11520,0xff,1431453923.176096,0.0
255,Tx,2937600,11520,0xff,1431453924.181105,Rx,2937600,11520,0xff,1431453924.181105,0.0
256,Tx,2949120,11520,0xff,1431453925.183113,Rx,2949120,11520,0xff,1431453925.183113,0.0
257,Tx,2960640,11520,0xff,1431453926.181116,Rx,2960640,11520,0xff,1431453926.181116,0.0
258,Tx,2972160,11520,0xff,1431453927.184125,Rx,2972160,11520,0xff,1431453927.184125,0.0
259,Tx,2983680,11520,0xff,1431453928.176142,Rx,2983680,11520,0xff,1431453928.176142,0.0
260,Tx,2995200,11520,0xff,1431453929.189169,Rx,2995200,11520,0xff,1431453929.189169,0.0
261,Tx,3006720,11520,0xff,1431453930.187174,Rx,3006720,11520,0xff,1431453930.187174,0.0
